taxonID,latitude,longitude,date
215703,27.8283583,-81.3047739,2015-05-29
215703,29.9957316459,-85.0015640259,2017-11-03
215703,29.9957316459,-85.0015640259,2017-11-03
215703,29.1533231325,-82.614440918,2017-11-08
215703,27.8744916667,-81.1453695,2017-11-04
215703,30.861019,-86.844563,2017-10-20
215703,29.9927919439,-84.9850762461,2017-10-11
215703,26.0493804006,-81.0763549805,2016-02-28
215703,28.567402,-80.994998,2017-09-23
215703,29.5706437004,-82.6065337658,2017-09-24
215703,29.573188,-82.609527,2017-09-23
215703,26.8582269951,-81.9403266907,2017-04-03
215703,28.6173774589,-82.5624704361,2017-08-11
215703,34.7658229597,-77.3708348335,2017-07-01
215703,31.6235285,-91.2505447,2016-04-02
215703,29.1556093136,-82.6184749603,2017-07-01
215703,27.594058825,-81.0227044233,2017-07-16
215703,27.8304992448,-81.1439846687,2017-07-14
215703,25.6655111446,-100.3240156174,2016-06-03
215703,27.6758583333,-81.3102633333,2017-06-27
215703,29.277714732,-82.6316070557,2017-06-09
215703,28.8864663288,-82.2280311584,2017-05-28
215703,28.8865743591,-82.2283637524,2017-05-28
215703,28.48329,-81.105966,2017-04-01
215703,26.5966848,-81.3352057,2015-12-13
215703,34.4578258943,-77.635506239,2014-09-08
215703,30.246245,-84.552925,2016-10-24
215703,34.5307956815,-77.6500963605,2016-10-20
215703,27.4660318428,-81.5226101875,2015-10-22
215703,27.4684116986,-81.5223312379,2013-10-25
