taxonID,latitude,longitude
81559,38.733,-76.9188333333
81559,41.1668939,-81.5667704
81559,43.7901913533,-72.3800131852
81559,41.1399175,-81.5757635
81559,38.9261411243,-77.3418934644
81559,38.9261145163,-77.3419005052
81559,44.776747,-76.173555
81559,38.7934466,-77.2716505
81559,35.464928395,-80.7801940441
81559,35.217479,-89.870353
81559,48.992256,-100.333338
81559,39.9938333333,-121.1231666667
81559,43.0676816667,-87.8934183333
81559,43.625143,-72.945564
81559,43.626808,-72.943624
81559,43.580372,-72.962052
81559,43.794382,-73.347194
81559,38.940509,-76.49884
81559,41.087106,-79.72023
81559,40.620875,-80.169296
81559,38.986353,-76.922246
81559,39.1990699768,-77.1020507813
81559,39.0707778931,-76.7748641968
81559,39.0707778931,-76.7748641968
81559,38.9445228577,-76.6965026855
81559,38.9638137817,-76.8174819946
81559,39.0271186829,-76.7977828979
81559,36.852926,-75.977985
81559,40.793329,-73.97874
81559,41.128148,-81.543321
81559,32.500704,-94.740489
81559,39.562156,-75.732515
81559,41.192381,-81.697633
81559,44.427359,-73.195054
81559,44.014772,-73.175371
81559,38.968935,-76.806863
81559,35.985731,-79.057702
81559,38.980176,-76.452613
81559,38.968914,-76.4854
81559,41.260768,-72.553096
81559,44.029004,-73.157079
81559,44.681,-73.0671666667
81559,43.612775,-73.058399
81559,40.463999,-82.638109
81559,41.698258,-71.971363
81559,43.132339,-72.525467
81559,38.9691200256,-76.8053741455
81559,38.953278,-75.939589
81559,40.591755,-79.505503
81559,42.99173,-72.532682
81559,43.587028,-72.911346
81559,40.4491057038,-77.284884939
81559,44.395721,-73.234053
81559,26.973717,-81.890791
81559,38.7331110095,-76.9185553566
81559,41.100244,-80.674999
81559,42.4914665212,-88.1874704064
81559,41.7832522,-87.578253
81559,41.7832522,-87.578253
81559,35.80967,-78.717513
81559,35.80967,-78.717513
81559,40.510023,-74.454028
81559,45.232836,-92.734534
81559,43.625143,-72.945607
81559,38.922966,-76.192079
81559,38.6023514453,-78.3445695009
81559,39.0989608765,-76.5847091675
81559,35.446835,-94.973422
81559,36.003824,-78.941954
81559,40.6052207947,-77.4681625366
81559,40.594526,-77.576142
81559,40.42532558,-76.5964526
81559,40.5665349,-79.8533759
81559,18.894939,-99.184368
81559,40.6054153442,-77.4323272705
81559,38.944190979,-76.6967544556
81559,37.373663,-88.926733
81559,35.986356,-79.056844
81559,35.986356,-79.056844
81559,38.9795,-78.1238333333
81559,36.54325853,-82.15706744
81559,38.749530834,-78.2684183976
81559,39.402059,-82.355833
81559,39.402059,-82.355833
81559,40.80550597,-77.86865999
81559,39.918222,-84.147685
81559,39.315574646,-76.8747711182
81559,40.794354,-73.951771
81559,42.4062083333,-71.3316116667
81559,39.0549163818,-76.7230224609
81559,39.4117927551,-76.8421554565
81559,38.911935,-76.947137
81559,37.375822,-80.523025
81559,43.4481612893,-76.3013333152
81559,43.406848,-73.581271
81559,46.024466,-123.368551
81559,43.701955,-73.976049
81559,43.711789,-73.024106
81559,43.711975,-73.024535
81559,43.637275,-73.333075
81559,38.936232,-76.503124
81559,38.934445,-74.949476
81559,41.114434,-81.523648
81559,39.839465,-81.727338
81559,44.027199,-73.179312
81559,36.381157,-81.024295
81559,44.479892,-73.184586
81559,40.473666,-79.9135
81559,43.8531666667,-72.5888333333
81559,38.63811,-77.237366
81559,43.623877,-73.365914
81559,32.449753,-91.968759
81559,39.456501,-82.598476
81559,41.128278,-81.542806
81559,40.490279,-74.432845
81559,38.791155,-77.284784
81559,39.1009254456,-76.5827331543
81559,40.018313,-77.55379
81559,40.238527,-77.482432
81559,40.50776,-80.380322
81559,40.074882,-84.53598
81559,38.528684,-122.759165
81559,41.7832522,-87.578253
81559,34.487609,-79.195926
81559,35.3341437593,-90.0439453125
81559,32.841462,-93.917794
81559,31.4044991,-110.2967987
81559,31.4156019,-110.2765277
81559,41.814871,-88.06371
81559,38.677657,-83.112463
81559,38.7991828918,-76.6933670044
81559,38.9465255737,-76.6962432861
81559,43.135146,-89.43847
81559,41.142654,-81.60762
81559,38.799899,-76.69456
81559,30.9238651499,-94.1564637423
