taxonID,latitude,longitude,date
59123,36.0606083098,-112.1388215134,2012-07-01
59123,38.7311706964,-104.8425848279,2017-09-09
59123,36.481406105,-121.1807785122,2017-06-08
59123,40.8197284363,-123.6898326874,2017-07-29
59123,40.437569,-121.536433,2017-08-21
59123,38.2037083333,-119.9603883333,2017-08-15
59123,36.3953333333,-105.262535,2017-08-04
59123,38.9668833333,-105.3715833333,2017-08-05
59123,40.8390190254,-123.69998753,2017-07-29
59123,41.0107162,-121.6527649,2006-07-11
59123,41.7100811,-122.6619923,2005-07-14
59123,38.34933,-119.34327,2017-07-28
59123,38.3259166667,-119.9137716667,2017-07-28
59123,37.7268769,-118.5976234,2017-07-22
59123,37.7226533333,-118.6066766667,2017-07-22
59123,38.8665203453,-104.893524795,2017-07-26
59123,37.7268769,-118.5976234,2017-07-22
59123,36.6665030556,-105.6691380556,2017-07-11
59123,37.7542601493,-119.5446932316,2017-07-04
59123,37.3348870818,-122.121457183,2017-06-25
59123,37.400555,-122.2380216667,2017-06-24
59123,34.2208869743,-117.8525733948,2017-06-12
59123,39.7232120553,-121.001487204,2016-08-20
59123,37.1824621,-121.8505804,2017-06-04
59123,40.334957,-111.524079,2010-07-23
59123,37.3348870818,-122.121457183,2017-05-27
59123,37.284496,-122.063859,2017-05-24
59123,35.1038651033,-106.3816773891,2010-07-09
59123,38.528249,-107.64916,2011-07-20
59123,38.499643,-109.306712,2016-07-23
59123,39.429534,-105.069063,2014-08-09
59123,34.0120726356,-118.2411518623,2010-06-06
59123,38.8278066376,-104.8775053024,1997-08-11
59123,40.4824297226,-106.7733550072,2016-08-22
59123,35.8180287782,-106.5337664412,2016-08-08
59123,38.1640138333,-119.1541221667,2016-07-23
59123,38.0901882284,-119.1569423676,2016-07-16
59123,41.7094125379,-121.4782097338,2016-06-29
59123,41.240285,-123.656751,2016-06-20
59123,34.1627777778,-117.8186111111,2016-06-12
59123,37.367309,-122.175672,2016-06-04
59123,37.3695216667,-122.1718716667,2016-06-04
59123,37.53868,-121.565691,2016-06-01
59123,36.482987,-121.155644,2016-05-21
59123,39.198509,-120.230927,2015-08-20
59123,37.3340988159,-122.1200027466,2015-07-04
59123,36.505704,-121.190722,2013-06-02
59123,37.4043,-121.793325,2015-07-08
59123,34.172229,-117.924694,2015-06-25
59123,37.396869,-121.802276,2015-06-04
59123,37.284241,-122.076643,2015-06-08
59123,37.461387,-122.28222,2015-06-05
59123,37.351101,-122.173186,2015-06-06
59123,36.492613,-121.145645,2015-05-30
59123,37.351101,-122.173186,2015-05-29
59123,34.1039030607,-118.6951270336,2015-05-25
59123,36.213698,-112.052286,2014-08-05
59123,37.460408,-122.283821,2015-04-23
59123,37.461813,-122.280257,2005-06-04
59123,37.878639,-121.933082,2006-06-24
